,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
10,1.0,1.0,1.0,1.0,1.0,1.0,0.9999127388000488,1.0,0.6533324718475342,1.0,-0.1747969090938568,1.0,0.9999582767486572,1.0,1.0,1.0,0.9999998211860657,1.0,1.0,1.0,1.0,1.0,1.0,0.999999463558197,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9992304444313049,1.0,1.0,1.0,1.0,0.9999990463256836,0.9999999403953552,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5397348403930664,1.0,-0.7891426086425781,1.0,-0.8432636857032776,1.0,1.0,1.0,1.0,1.0,0.9892935156822205,1.0,0.9284342527389526,0.9999971389770508,1.0,1.0,1.0,1.0,1.0,1.0,0.9999995827674866,1.0,1.0,1.0,1.0,1.0,0.9998455047607422,0.9999997615814209,1.0,1.0,0.9999999403953552,0.9999961853027344,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,0.9999964833259583,1.0,0.9901448488235474,1.0,0.819771945476532,1.0,0.01666259765625,0.9999825954437256,0.9999949336051941,0.9999980330467224,0.9947071075439453,1.0,0.9997861981391907,1.0,1.0,1.0,0.9999999403953552,1.0,0.9999997615814209,0.9999999403953552,1.0,1.0,0.9992856979370117,0.9999987483024597,0.9953385591506958,0.9999968409538269,0.9999600052833557,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,0.2247450351715088,1.0,1.0,1.0,0.9999478459358215,0.9657858610153198,0.9943248629570007,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0,0.9999998211860657,1.0,0.9996102452278137,1.0,0.9865022897720337,1.0,0.7909565567970276,0.3662693500518799,0.967789351940155,0.9840028285980225,0.45866793394088745,1.0,0.9117356538772583,1.0,1.0,1.0,0.9961212873458862,1.0,0.9982927441596985,0.9980465769767761,0.9997504353523254,1.0,0.5738623142242432,0.9848504662513733,0.29832854866981506,0.9916203022003174,0.8043473958969116,1.0,1.0,1.0,1.0,1.0,1.0,0.9959374666213989,0.8959043622016907,1.0,1.0,0.9999949932098389,0.9323186874389648,0.5236488580703735,0.2149016261100769,1.0,0.999988317489624,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,0.9997494220733643,1.0,0.9925932288169861,1.0,0.8491194248199463,0.8387839198112488,0.42973169684410095,0.8872043490409851,0.4587673544883728,1.0,0.5164529085159302,1.0,1.0,1.0,0.9842777848243713,1.0,0.955801784992218,0.9878076910972595,0.9980147480964661,1.0,0.7536636590957642,0.9391072988510132,0.34552717208862305,0.8069297075271606,0.894298255443573,1.0,1.0,1.0,1.0,1.0,1.0,0.9870679378509521,0.9323618412017822,1.0,1.0,0.9999895095825195,0.5246486663818359,0.5609204769134521,0.47754746675491333,1.0,0.9999544620513916,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,0.9997525215148926,1.0,0.9919679164886475,1.0,0.8661173582077026,0.8373713493347168,0.7587452530860901,0.32774972915649414,0.5209804773330688,1.0,0.07642227411270142,1.0,1.0,1.0,0.9647355079650879,1.0,0.9407498836517334,0.9794105291366577,0.9988912343978882,1.0,0.49010059237480164,0.9730190634727478,0.28114330768585205,0.8924606442451477,0.8042025566101074,1.0,1.0,1.0,1.0,1.0,1.0,0.9703280925750732,0.9366335868835449,1.0,1.0,0.9999768733978271,0.6676220297813416,0.6187564134597778,0.37406525015830994,1.0,0.999866783618927,0.9999999403953552
16,1.0,1.0,1.0,1.0,1.0,1.0,0.9999992847442627,1.0,0.9979040622711182,1.0,0.9728347659111023,1.0,0.4321936070919037,0.9988519549369812,0.9996222257614136,0.9997709393501282,0.3961942493915558,1.0,0.9793708324432373,1.0,1.0,1.0,0.999989926815033,1.0,0.9999709129333496,0.9999887943267822,0.9999992847442627,1.0,0.9716215133666992,0.9998793601989746,0.9028589725494385,0.9997503757476807,0.9986547827720642,1.0,1.0,1.0,1.0,1.0,1.0,0.9999867081642151,0.8324850797653198,1.0,1.0,1.0,0.9973416328430176,0.4789116382598877,0.9142851233482361,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999590516090393,1.0,1.0,1.0,0.9999999403953552,1.0,0.9999999403953552,0.9999999403953552,0.9999998211860657,1.0,-0.49855735898017883,1.0,0.6356250047683716,0.9938062429428101,0.9999379515647888,0.9999997615814209,1.0,0.9999997615814209,0.9999997615814209,0.9999995231628418,0.9990910291671753,1.0,0.9999998211860657,1.0,0.9999998211860657,1.0,0.5725058317184448,0.9993903636932373,0.9999234676361084,0.9999303817749023,0.9998440146446228,0.9855518937110901,0.9999997615814209,1.0,0.9998722076416016,0.9998958110809326,0.9999980926513672,1.0,1.0,1.0,0.9997212290763855,0.9999983310699463,0.9999889731407166
18,1.0,1.0,1.0,1.0,1.0,1.0,0.9999997615814209,1.0,0.9991549253463745,1.0,0.97939133644104,1.0,0.5678061246871948,0.9885541200637817,0.9885618686676025,0.9933403134346008,0.4987574815750122,1.0,0.4415808618068695,1.0,1.0,1.0,0.9997644424438477,1.0,0.998828113079071,0.9997882843017578,0.9999644160270691,1.0,0.9528061747550964,0.9985955357551575,0.2934069335460663,0.9962488412857056,0.9759527444839478,1.0,1.0,1.0,1.0,1.0,1.0,0.9994152784347534,0.7818718552589417,1.0,1.0,0.9999997615814209,0.9455961585044861,0.47637486457824707,0.6124901175498962,1.0,0.9999988675117493,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9848844408988953,1.0,0.9999966621398926,1.0,0.9999427795410156,1.0,1.0,1.0,1.0,1.0,-0.38949650526046753,1.0,-0.7233729958534241,0.9988412261009216,0.9999889731407166,1.0,1.0,1.0,1.0,0.9999999403953552,0.9998359084129333,1.0,1.0,1.0,1.0,1.0,0.846320390701294,0.9998886585235596,0.9999890327453613,0.9999861717224121,0.9999690055847168,0.9982287287712097,1.0,1.0,0.9999725818634033,0.9999830722808838,0.9999995827674866,1.0,1.0,1.0,0.9999603629112244,0.9999997019767761,0.9999980926513672
